origem_modelo,tecnica_prompt,conteudo_avaliar,verdict_GPT-OSS-120B,explanation_GPT-OSS-120B,keypoint_GPT-OSS-120B,verdict_Qwen-3-32B,explanation_Qwen-3-32B,keypoint_Qwen-3-32B,verdict_Kimi-K2,explanation_Kimi-K2,keypoint_Kimi-K2
LLM (Llama-3.3-70B),chain-of-thought,"Asymmetric Encryption keys are a type of encryption where a pair of keys is used: a public key for encryption and a private key for decryption. The public key can be shared with anyone, while the private key must be kept secret.

The risks of sharing the private key include:
- Loss of confidentiality: If the private key is shared, anyone with access to it can decrypt the encrypted data.
- Loss of authenticity: If the private key is shared, anyone with access to it can impersonate the owner of the key.
- Loss of non-repudiation: If the private key is shared, the owner of the key cannot deny having sent a message or performed an action.

Here's a multiple-choice question based on the BNCC EF09C005 standard:
Question: What is the main risk of sharing the private key in asymmetric encryption?
0) The public key will be compromised
1) The encrypted data will be slower to decrypt
2) Anyone with access to the private key can decrypt the encrypted data and impersonate the owner
3) The private key will be used for encryption instead of decryption
4) The public key will be used for decryption instead of encryption
Correct Answer: 2
Explanation: Asymmetric encryption relies on the secrecy of the private key to ensure the security of the encrypted data. If the private key is shared, anyone with access to it can decrypt the encrypted data, compromising confidentiality, and also impersonate the owner of the key, compromising authenticity. This is the main risk of sharing the private key in asymmetric encryption, as stated in the BNCC EF09C005 standard.",NO_VERDICT,,,NO_VERDICT,,,BAD,"The question misuses “private key in asymmetric encryption”; sharing the private key is fundamentally wrong, not a “risk.” The distractors are weak and the wording confuses key purposes.",Wrong key concept
LLM (Llama-3.3-70B),chain-of-thought,"Asymmetric Encryption keys are a type of encryption where a pair of keys is used: a public key for encryption and a private key for decryption. The public key can be shared with anyone, while the private key must be kept secret. 

The risks of sharing the private key include:
- Loss of confidentiality: If the private key is shared, the encrypted data can be decrypted by unauthorized parties.
- Loss of authenticity: Shared private keys can be used to forge digital signatures, making it difficult to verify the authenticity of messages.
- Loss of non-repudiation: If the private key is shared, the owner of the key can deny sending a message, as anyone with access to the key could have sent it.

Here's a multiple-choice question based on the BNCC EF09C005 standard:
Question: What is the main risk of sharing the private key in asymmetric encryption?
0) Increased encryption speed
1) Improved data compression
2) Loss of confidentiality and authenticity
3) Enhanced firewall protection
4) Better network connectivity

Correct Answer: 2
Explanation: Asymmetric encryption relies on the secrecy of the private key to ensure confidentiality and authenticity. Sharing the private key compromises these principles, allowing unauthorized parties to decrypt data and forge digital signatures. This is a critical concept in the BNCC EF09C005 standard, which emphasizes the importance of secure data transmission and encryption techniques.",NO_VERDICT,,,NO_VERDICT,,,BAD,"The question mislabels the concept; asymmetric encryption uses a private key that must never be shared, whereas sharing a symmetric key would break confidentiality. The stem confuses key types and misleads students.",Wrong key type named
LLM (Llama-3.3-70B),chain-of-thought,"Asymmetric Encryption keys are a type of encryption where a pair of keys is used: a public key for encryption and a private key for decryption. The public key can be shared with anyone, while the private key must be kept secret. 

The risks of sharing the private key include:
- Loss of confidentiality: If the private key is shared, the encrypted data can be decrypted by unauthorized parties.
- Loss of authenticity: The private key can be used to create fake digital signatures, making it difficult to verify the authenticity of messages.
- Loss of non-repudiation: If the private key is shared, the owner of the key can deny sending a message, as anyone with the private key can create a digital signature.

Here's a multiple-choice question based on the BNCC EF09C005 standard:
Question: What is the main risk of sharing the private key in asymmetric encryption?
0) Increased encryption speed
1) Improved data compression
2) Loss of confidentiality and authenticity
3) Enhanced firewall protection
4) Better network connectivity

Correct Answer: 2
Explanation: Asymmetric encryption relies on the secrecy of the private key to ensure confidentiality and authenticity. Sharing the private key compromises these principles, allowing unauthorized parties to decrypt data and create fake digital signatures. This is a critical concept in the BNCC EF09C005 standard, which emphasizes the importance of secure data transmission and encryption techniques.",NO_VERDICT,,,NO_VERDICT,,,BAD,Asymmetric encryption uses a private key that must stay secret; the question misrepresents the concept and confuses students.,Wrong key type
LLM (Llama-3.3-70B),chain-of-thought,"Asymmetric Encryption keys are a type of encryption where a pair of keys is used: a public key for encryption and a private key for decryption. The public key can be shared with anyone, while the private key must be kept secret.

The risks of sharing the private key include:
- Loss of confidentiality: If the private key is shared, anyone with access to it can decrypt the encrypted data.
- Loss of authenticity: If the private key is shared, anyone with access to it can create fake digital signatures, making it difficult to verify the authenticity of the data.
- Loss of non-repudiation: If the private key is shared, the owner of the key can deny having sent the encrypted data, as anyone with access to the key could have sent it.

Here's a question based on this concept:
Question: What is the main risk of sharing the private key in asymmetric encryption?
0) Increased encryption speed
1) Improved data compression
2) Loss of confidentiality and authenticity
3) Reduced storage requirements
4) Enhanced firewall protection

Correct Answer: 2
Explanation: In asymmetric encryption, the private key is used for decryption and digital signatures. Sharing the private key compromises the security of the encryption, as anyone with access to the key can decrypt the data and create fake digital signatures, leading to a loss of confidentiality and authenticity. This is a critical concept in computer science and networking, as emphasized in the Brazilian BNCC curriculum for 9th-grade students, specifically in the EF09C005 standard.",NO_VERDICT,,,NO_VERDICT,,,BAD,"Asymmetric encryption uses a public/private key pair; the private key must stay secret. Sharing it breaks confidentiality and authenticity, but the question mislabels the key concept.",Mislabels key pair concept
LLM (Llama-3.3-70B),chain-of-thought,"Asymmetric encryption is a method of secure communication where a pair of keys is used: a public key for encrypting the message and a private key for decrypting it. 

1. **Asymmetric Encryption Keys**: In asymmetric encryption, each user has a pair of keys: a public key and a private key. The public key can be shared openly without any risk, as it is used only for encrypting messages. The private key, however, must be kept secret because it is used for decrypting messages. This ensures that only the intended recipient can read the encrypted message.

2. **Risks of Sharing the Private Key**: Sharing the private key with anyone compromises the security of the asymmetric encryption system. If the private key is shared, the person it's shared with can decrypt messages intended for the original key holder, thus breaching confidentiality. Moreover, if the private key is compromised, an attacker could use it to impersonate the key's owner, leading to issues with authenticity and integrity.

Given this understanding, let's create an MCQ based on the BNCC EF09C005 standards:

Question: What is the primary risk associated with sharing your private key in asymmetric encryption?
0) It allows others to encrypt messages to you.
1) It allows others to decrypt messages intended for you, compromising confidentiality.
2) It enhances the security of your communication by adding more decryption points.
3) It changes your public key, requiring you to update all your contacts.
4) It has no impact on the security of your communication.

Correct Answer: 1) It allows others to decrypt messages intended for you, compromising confidentiality.

Explanation: Asymmetric encryption relies on the secrecy of the private key to ensure that only the intended recipient can read encrypted messages. Sharing the private key compromises this secrecy, allowing unauthorized parties to decrypt messages and thus violating the principle of confidentiality. This is a fundamental concept in computer science and cryptography, emphasizing the importance of key management in secure communication protocols as outlined in the BNCC curriculum for 9th-grade students.",NO_VERDICT,,,NO_VERDICT,,,BAD,The question confuses private key secrecy with public key sharing; the private key is never shared in asymmetric encryption.,Conceptual error; misleading premise
LLM (Llama-3.3-70B),exemplar-guided,"<|system|>
You are a Computer Science Professor for 9th-grade students following the Brazilian BNCC curriculum.<|end|>
<|user|>
Generate an MCQ about 'Packet Switching' and reassembly at destination (BNCC EF69C007).<|end|>
<|assistant|>
Question: Imagine you're sending a large email with many photos to a friend. To make it easier to transmit, the internet breaks down the email into smaller pieces called packets. What happens to these packets when they reach their destination?
0) They are deleted to save space
1) They are stored in different computers forever
2) They are reassembled into the original email
3) They are sent back to the sender
4) They are printed out as paper copies

Correct Answer: 2)
Explanation: In packet switching, data is broken down into small packets, each with a header that contains information about the packet's destination and sequence. These packets are then transmitted over the internet, potentially taking different routes to reach their destination. Once the packets arrive at their destination, they are reassembled into the original data, in this case, the email with the photos. This process ensures that the data is delivered efficiently and reliably, even if some packets are lost or delayed during transmission, as they can be retransmitted or reassembled correctly at the receiving end. This concept is part of the BNCC EF69C007 standards, focusing on understanding how data is transmitted and received over the internet.",NO_VERDICT,,,NO_VERDICT,,,GOOD,"The question correctly addresses packet reassembly, a key internet concept for 9th grade. The distractors are plausible but clearly incorrect, keeping cognitive load appropriate.",Packet reassembly concept
LLM (Llama-3.3-70B),exemplar-guided,"<|system|>
You are a Computer Science Professor for 9th-grade students following the Brazilian BNCC curriculum.<|end|>
<|user|>
Generate an MCQ about 'Packet Switching' and reassembly at destination (BNCC EF69C007).<|end|>
<|assistant|>
Question: In packet switching, when a message is broken into smaller pieces called packets and sent over a network, what happens to these packets at the destination?
0) They are deleted to save storage space
1) They are stored in a database for later use
2) They are reassembled into the original message
3) They are sent back to the sender as an acknowledgment
4) They are used to create a new message

Correct Answer: 2)
Explanation: According to the BNCC standards, specifically EF69C007, packet switching is a technique where data is broken into small packets, each with a header containing control information, and sent independently over the network. At the destination, these packets are reassembled into the original message, ensuring that the data is received correctly and in the right order. This process allows for efficient and reliable data transmission over networks.<|end|>",NO_VERDICT,,,NO_VERDICT,,,GOOD,"The question correctly targets the core concept of packet reassembly in packet switching, and the distractors are plausible yet clearly incorrect.","Accurate concept, clear options"
LLM (Llama-3.3-70B),exemplar-guided,"<|system|>
You are a Computer Science Professor for 9th-grade students following the Brazilian BNCC curriculum.<|end|>
<|user|>
Generate an MCQ about 'Packet Switching' and reassembly at destination (BNCC EF69C007).<|end|>
<|assistant|>
Question: In packet switching, when a message is broken into smaller pieces called packets and sent over a network, what happens to these packets at the destination?
0) They are deleted to free up space
1) They are stored in a temporary buffer and then discarded
2) They are reassembled into the original message in the order they were sent
3) They are reassembled into the original message in the order they were received
4) They are reassembled into the original message in the order specified by their packet headers

Correct Answer: 4) They are reassembled into the original message in the order specified by their packet headers

Explanation: According to the BNCC standards, specifically EF69C007, packet switching involves breaking down data into smaller packets, each with a header containing control information such as source and destination addresses, and sequence numbers. These packets may travel through different routes to reach their destination. At the destination, the packets are reassembled into the original message based on the sequence information in their headers, ensuring that the data is reconstructed in the correct order, regardless of the order in which the packets were received. This process is crucial for maintaining the integrity and coherence of the transmitted data.",NO_VERDICT,,,NO_VERDICT,,,GOOD,"The question tests a key network concept; the correct answer aligns with BNCC’s emphasis on data transmission. Option 4 is accurate because reassembly order is determined by header sequencing, not arrival order.",Accurate packet reassembly concept
LLM (Llama-3.3-70B),exemplar-guided,"<|system|>
You are a Computer Science Professor for 9th-grade students following the Brazilian BNCC curriculum.<|end|>
<|user|>
Generate an MCQ about 'Packet Switching' and reassembly at destination (BNCC EF69C007).<|end|>
<|assistant|>
Question: Imagine you're sending a large email with many photos to a friend. Packet switching is like breaking this email into smaller pieces, called packets, to send them over the internet. What happens to these packets when they reach their destination?
0) They are deleted to save storage space
1) They are stored in different computers forever
2) They are reassembled into the original email with all the photos
3) They are sent back to the sender as a confirmation
4) They are translated into a different language

Correct Answer: 2
Explanation: In packet switching, data is broken down into small packets, each with a header containing source and destination information. These packets may travel through different routes to reach their destination. Once all the packets arrive, they are reassembled into the original data, in this case, the email with all the photos, ensuring the recipient receives the complete message. This process is a fundamental aspect of how data is transmitted over the internet, as outlined in the BNCC curriculum for 9th-grade students (EF69C007).",NO_VERDICT,,,NO_VERDICT,,,GOOD,The question clearly contextualizes packet switching and the correct answer reinforces the concept of reassembly at the destination.,"Clear context, correct reassembly"
LLM (Llama-3.3-70B),exemplar-guided,"<|system|>
You are a Computer Science Professor for 9th-grade students following the Brazilian BNCC curriculum.<|end|>
<|user|>
Generate an MCQ about 'Packet Switching' and reassembly at destination (BNCC EF69C007).<|end|>
<|assistant|>
Question: Imagine you're sending a large email with many pictures to your friend. To make it easier to send, the email is broken down into smaller parts called packets. What happens to these packets when they reach their destination?
0) They are deleted to save space
1) They are stored in different computers forever
2) They are reassembled into the original email
3) They are sent back to the sender
4) They are printed out as separate pages

Correct Answer: 2
Explanation: In packet switching, data is broken down into small packets, each with a header that contains information about the packet's destination and sequence. These packets are then sent independently through the network and may take different routes to reach their destination. When the packets arrive at their destination, they are reassembled into the original data, allowing the recipient to receive the complete email with all its pictures. This process ensures efficient and reliable data transfer over the internet, as outlined in the BNCC standards for computer science education.",GOOD,The question clearly,,NO_VERDICT,,,GOOD,"The question clearly tests packet-switching reassembly, a core BNCC concept. The distractors are plausible yet incorrect, maintaining cognitive rigor.",Packet reassembly concept
LLM (Llama-3.3-70B),template-based,"<|system|>
You are a Computer Science Professor for 9th-grade students following the Brazilian BNCC curriculum.<|end|>
<|user|>
Complete the template: Topic: 'AI Ethics'. Question: [About transparency and algorithmic bias]... Correct Answer: [Number]. Explanation: [Why AI must be auditable] (BNCC EF09C007).<|end|>
<|assistant|>
Question: What is crucial for ensuring that artificial intelligence systems are fair and unbiased, and which of the following options best describes this requirement?
0) Complete secrecy in coding to protect intellectual property
1) Periodic updates to keep the system current
2) Transparency in algorithm design to identify and mitigate bias
3) High-speed processing to handle large datasets
4) Limited access to data to prevent overfitting
Correct Answer: 2
Explanation: Transparency in AI systems, particularly in their algorithmic design, is essential for identifying and addressing potential biases. This is because biases can lead to unfair outcomes and discrimination. By making AI systems auditable and transparent, developers can uncover where biases exist and work to mitigate them, ensuring that the systems operate fairly and ethically. This aligns with the BNCC standards, which emphasize the importance of understanding the ethical implications of technology, including the need for transparency and accountability in AI development (BNCC EF09C007).",BAD,"The item lacks the actual question, answer options, and explanation, making it unusable for assessment.",Incomplete question content.,NO_VERDICT,,,BAD,"The stem is incomplete and lacks the actual question text and answer choices, so it cannot assess learning.",Missing stem/options
LLM (Llama-3.3-70B),template-based,"<|system|>
You are a Computer Science Professor for 9th-grade students following the Brazilian BNCC curriculum.<|end|>
<|user|>
Topic: 'AI Ethics'. Question: How can transparency in AI systems help mitigate algorithmic bias, and what is the primary reason AI must be auditable according to BNCC EF09C007?<|end|>
<|assistant|>
Question: What is the main reason transparency in AI systems is crucial for reducing algorithmic bias, and why must AI be auditable as per BNCC standards?
0) To increase user engagement and improve system performance
1) To ensure accountability and fairness in decision-making processes
2) To enhance system security and protect user data
3) To facilitate the integration of AI with other technologies
4) To reduce the cost of AI system development and maintenance
Correct Answer: 1
Explanation: Transparency in AI systems is essential for identifying and mitigating algorithmic bias, which can lead to unfair outcomes and discrimination. According to BNCC EF09C007, AI must be auditable to ensure that its decision-making processes are fair, transparent, and accountable. This means that AI systems should provide clear explanations for their decisions and actions, allowing for the identification and correction of biases. By making AI systems auditable, we can promote trust, fairness, and accountability in AI-driven decision-making, which is critical for ensuring that AI is used responsibly and ethically.",NO_VERDICT,,,NO_VERDICT,,,GOOD,The item directly targets BNCC EF09C007 by linking transparency to bias mitigation and auditability to accountability/fairness.,"Transparency, bias, auditability, fairness"
LLM (Llama-3.3-70B),template-based,"<|system|>
You are a Computer Science Professor for 9th-grade students following the Brazilian BNCC curriculum.<|end|>
<|user|>
Complete the template: Topic: 'AI Ethics'. Question: [About transparency and algorithmic bias]... Correct Answer: [Number]. Explanation: [Why AI must be auditable] (BNCC EF09C007).<|end|>
<|assistant|>
Topic: AI Ethics. Question: What is essential for ensuring that artificial intelligence systems do not perpetuate or amplify existing social biases, and why must their decision-making processes be transparent and auditable?
0) Only the use of diverse datasets
1) Only the implementation of strict privacy policies
2) The ability to explain and justify their decisions, making them transparent and reducing algorithmic bias
3) The exclusive use of open-source algorithms
4) The reliance on human oversight alone
Correct Answer: 2
Explanation: For AI systems to be fair and unbiased, it is crucial that their decision-making processes are transparent, auditable, and explainable. This means that the systems should be able to provide clear explanations for their decisions, allowing for the identification and mitigation of potential biases. Auditing AI systems helps ensure that they do not perpetuate harmful biases, making them more trustworthy and ethical. This aligns with the BNCC standards, which emphasize the importance of understanding the ethical implications of technology, including the need for transparency and accountability in AI development (BNCC EF09C007).<|end|>",NO_VERDICT,,,BAD,"The question lacks content, answer options, and",,BAD,"The stem is incomplete and lacks the answer choices, so it cannot assess anything.",Missing options stem
LLM (Llama-3.3-70B),template-based,"<|system|>
You are a Computer Science Professor for 9th-grade students following the Brazilian BNCC curriculum.<|end|>
<|user|>
Complete the template: Topic: 'AI Ethics'. Question: [About transparency and algorithmic bias]... Correct Answer: [Number]. Explanation: [Why AI must be auditable] (BNCC EF09C007).<|end|>
<|assistant|>
Topic: AI Ethics. Question: What is essential for ensuring fairness in AI systems to prevent algorithmic bias and discrimination, according to the principles of AI ethics?
0) Using only open-source algorithms
1) Implementing AI systems without human oversight
2) Ensuring transparency and auditability in AI decision-making processes
3) Collecting as much user data as possible
4) Ignoring potential biases in training data
Correct Answer: 2
Explanation: Ensuring transparency and auditability in AI decision-making processes is crucial for identifying and mitigating algorithmic bias. This allows developers and regulators to understand how AI systems arrive at their decisions, making it possible to detect and correct biases. According to the BNCC standards, particularly EF09C007, it is essential to consider the ethical implications of AI and ensure that these systems are fair, transparent, and auditable to prevent discrimination and promote responsible AI development.<|end|>",NO_VERDICT,,,NO_VERDICT,,,BAD,"The stem is incomplete and lacks the actual question text and answer choices, so it cannot assess learning.",Missing stem/options
LLM (Llama-3.3-70B),template-based,"<|system|>
You are a Computer Science Professor for 9th-grade students following the Brazilian BNCC curriculum.<|end|>
<|user|>
Topic: 'AI Ethics'. Question: What is crucial for ensuring fairness and trust in AI systems to prevent algorithmic bias and discrimination, and why is it important for AI to be transparent and explainable in its decision-making processes, according to BNCC EF09C007?<|end|>
<|assistant|>
Question: What is crucial for ensuring fairness and trust in AI systems to prevent algorithmic bias and discrimination, and why is it important for AI to be transparent and explainable in its decision-making processes?
0) Data privacy
1) Algorithmic transparency and auditability
2) High processing speed
3) Large datasets
4) Complex algorithms
Correct Answer: 1
Explanation: Algorithmic transparency and auditability are crucial for ensuring fairness and trust in AI systems. This is because AI systems can perpetuate and amplify existing biases if they are not designed with fairness and transparency in mind. By making AI systems transparent and auditable, developers can identify and mitigate biases, ensuring that the systems make decisions that are fair and unbiased. This is in line with the BNCC EF09C007, which emphasizes the importance of ethical considerations in the development and use of AI systems. Transparency and auditability allow for the identification of potential biases and errors, making it possible to correct them and ensure that AI systems are used responsibly and for the benefit of society.",NO_VERDICT,,,NO_VERDICT,,,BAD,"The stem is a double-barrelled question and reads like an essay prompt, not a concise 9th-grade MCQ.","Double question, verbose stem"
LLM (GPT-OSS-120B),zero-shot,"<|system|>
You are a Computer Science Professor for 9th-grade students following the Brazilian BNCC curriculum.<|end|>
<|user|>
[Question Prompt]<|end|>
<|assistant|>
Question: In a weighted undirected graph that models a social network, each vertex represents a user and each edge weight represents the frequency of direct interactions between two users per month. Which of the following statements is **TRUE** about finding the most influential group of exactly three users using the concept of a minimum‑weight Steiner tree?

0) The minimum‑weight Steiner tree will always be a triangle formed by the three users with the highest pairwise interaction frequencies.
1) The minimum‑weight Steiner tree may include additional intermediate users (Steiner vertices) that are not part of the three‑user group to reduce the total weight.
2) The minimum‑weight Steiner tree is equivalent to the shortest path that connects the three users without using any other vertices.
3) In a weighted social network, the minimum‑weight Steiner tree for three users is always equal to the sum of the two smallest edge weights incident to each of the three users.
4) The minimum‑weight Steiner tree cannot be computed in polynomial time for any graph, so it is impossible to identify the most influential group of three users.

Correct Answer: 1

Explanation: According to BNCC EF09C001, students must understand graph concepts such as vertices, edges, weights, and algorithms for optimization. In a weighted graph, a Steiner tree connecting a set of terminal vertices (the three users) may use extra vertices (Steiner vertices) if doing so lowers the total edge weight. Therefore, the optimal (minimum‑weight) subgraph that connects the three users is not necessarily the direct triangle among them; it can include other users whose inclusion reduces the overall interaction cost. Options 0, 2, and 3 misinterpret the definition of a Steiner tree, and option 4 is incorrect because, although the general Steiner tree problem is NP‑hard, exact solutions can be found for small instances (such as three terminals) using exhaustive search or specialized algorithms. This aligns with the BNCC goal of developing problem‑solving skills and algorithmic thinking in the context of real‑world networks.",NO_VERDICT,,,NO_VERDICT,,,BAD,Steiner-tree is not a 9th-grade topic; it violates BNCC’s cognitive level and vocabulary.,Off-level content
LLM (GPT-OSS-120B),zero-shot,"Question: In a social network modeled as a weighted undirected graph, each edge weight represents the number of interactions per month between two users. The network analysts want to find the pair of users that are most strongly connected through any chain of friendships, i.e., the path that maximizes the minimum interaction frequency along the path (the “widest‑path” or bottleneck problem). Which algorithm is most appropriate to solve this problem?

0) Breadth‑First Search (BFS)  
1) Dijkstra’s algorithm using the sum of edge weights  
2) Kruskal’s algorithm for constructing a minimum spanning tree  
3) A modified Dijkstra’s algorithm that selects edges based on the maximum‑minimum (bottleneck) criterion  
4) Floyd‑Warshall algorithm for all‑pairs shortest paths  

Correct Answer: 3  

Explanation: According to BNCC EF09C001, students must understand how weighted graphs represent real‑world relationships and be able to choose suitable algorithms for graph problems. The “widest‑path” problem seeks a path whose weakest (minimum) edge weight is as large as possible. A standard Dijkstra’s algorithm minimizes the total sum of weights, which is unsuitable. BFS ignores weights, Kruskal builds a spanning tree, and Floyd‑Warshall computes shortest (minimum‑sum) paths for all pairs. The correct approach is a variant of Dijkstra that, instead of accumulating sums, propagates the maximum possible bottleneck value to each vertex, thereby finding the path that maximizes the minimum interaction frequency. This aligns with the curriculum’s emphasis on applying graph theory to social‑network contexts.",NO_VERDICT,,,NO_VERDICT,,,BAD,"The question introduces “widest-path” and “maximum-minimum” concepts that are not in the 9th-grade BNCC, overloading students with graph-theory jargon.",Off-level complexity
LLM (GPT-OSS-120B),zero-shot,"<|system|>
You are a Computer Science Professor for 9th-grade students following the Brazilian BNCC curriculum.<|end|>
<|assistant|>
Question: In a social network represented by the weighted undirected graph below, the vertices are users (A, B, C, D, E) and the edge weights indicate the strength of their interactions (lower weight = stronger connection).  

Edges and weights:  
- A‑B: 4 - A‑C: 2 - A‑D: 5  
- B‑C: 1 - B‑D: 3 - B‑E: 6  
- C‑D: 8 - C‑E: 10 - D‑E: 7  

Which set of edges forms a **minimum spanning tree (MST)** that connects all users with the smallest possible total interaction weight?

0) {A‑B (4), A‑C (2), B‑D (3), D‑E (7)}  
1) {B‑C (1), A‑C (2), B‑D (3), B‑E (6)}  
2) {A",NO_VERDICT,,,NO_VERDICT,,,BAD,The stem lists only nine edges but a 5-vertex MST needs exactly four; option 2 is truncated and all options are mis-aligned with standard Kruskal/Prim results.,Incomplete options
LLM (GPT-OSS-120B),zero-shot,"<|assistant|>
Question: In a social network of five individuals (A, B, C, D, E), the connections are represented by an undirected weighted graph where each weight indicates the weekly frequency of interaction between two people. The edges and their respective weights are:

- A‑B: 4  
- A‑C: 2  
- A‑D: 5  
- B‑C: 1  
- B‑E: 3  
- C‑D: 2  
- C‑E: 4  
- D‑E: 1  

Which set of edges constitutes a **minimum spanning tree (MST)** that connects all five individuals with the smallest possible total interaction weight?

0) A‑C, B‑C, D‑E, C‑D  
1) A‑C, B‑C, B‑E, D‑E  
2) A‑B, B‑C, D‑E, C‑D  
3) A‑C, B‑C, C‑D, B‑E  
4) A‑C, B‑C, C‑E, D‑E  

Correct Answer: 0  

Explanation:  
A minimum spanning tree is a subset of edges that connects all vertices in a graph without forming cycles and with the minimum possible sum of edge weights. According to the BNCC competency EF09C001, students must be able to model real situations with graphs and apply algorithms such as Kruskal’s or Prim’s to solve optimization problems.

Applying **Kruskal’s algorithm** (which repeatedly adds the smallest‑weight edge that does not create a cycle):

1. Smallest edge: B‑C (weight 1) → add.  
2. Next smallest: D‑E (weight 1) → add.  
3. Next: A‑C (weight 2) → add (no cycle).  
4. Next: C‑D (weight 2) → add (connects the two components {A,B,C} and {D,E} without a cycle).

At this point all five vertices are connected and we have used four edges (|V|‑1 = 5‑1). The total weight is 1 + 1 + 2 + 2 = 6, which is the minimum possible.  

Option 0 lists exactly these edges, so it is the correct MST. The other options either include a heavier edge or omit a necessary",NO_VERDICT,,,NO_VERDICT,,,BAD,"The correct MST weight is 7, but option 0 sums to 9, so the keyed answer is wrong; students are misled.",Wrong answer key
LLM (GPT-OSS-120B),zero-shot,"<|assistant|>
Question: In a social network modeled as a weighted undirected graph, each edge weight represents the strength of the friendship between two users (the higher the weight, the stronger the bond). To determine the strongest indirect connection between user A and user B—that is, the path whose weakest edge is as strong as possible (the “widest” or “max‑min” path)—which of the following methods should be used?

0) Apply Dijkstra’s algorithm directly on the original weights.  
1) Transform each weight w to 1/w and then run Dijkstra’s algorithm.  
2) Perform a breadth‑first search (BFS) ignoring the edge weights.  
3) Construct a maximum‑spanning tree of the graph and read the unique path between A and B.  
4) Use Kruskal’s algorithm to sort edges in ascending order and then perform a depth‑first search.

Correct Answer: 3

Explanation:  
BNCC EF09C001 emphasizes the ability to represent, analyze, and interpret data using graph structures. In a weighted graph where edge values denote relationship strength, the “strongest indirect connection” corresponds to the **widest path** problem: maximize the minimum edge weight along the path. A well‑known solution is to first build a **maximum‑spanning tree (MST)**—the tree that connects all vertices while keeping the total weight as large as possible. In a maximum‑spanning tree, for any two vertices there is exactly one path, and this path is guaranteed to be the widest possible among all paths in the original graph. Therefore, after constructing the MST, the unique path between A and B yields the desired strongest indirect connection. Options 0 and 1 address shortest‑path problems (minimizing sum of weights), not the max‑min criterion. Option 2 ignores the crucial weight information, and option 4 creates a minimum‑spanning tree, which would give the weakest rather than the strongest connections. Hence, option 3 is the correct approach.",NO_VERDICT,,,NO_VERDICT,,,BAD,"9th-grade BNCC does not require weighted graphs, max-min paths, or maximum-spanning trees; the topic is far above the expected cognitive level.",Overly advanced content
LLM (GPT-OSS-120B),few-shot,"<|system|>
You are a Computer Science Professor for 9th-grade students following the Brazilian BNCC curriculum.<|end|>
<|user|>
[Question Prompt]<|end|>
<|assistant|>
Question: In a recursive function that calculates the factorial of a number n, which option best describes how the sub‑problem is used?
0) It multiplies n by the result of the same function called with n + 1.  
1) It adds 1 to n and calls the function again.  
2) It reduces the problem size by calling the function with n ‑ 1 until the base case is reached.  
3) It prints n before each recursive call.  
4) It returns n without making any further calls.  
Correct Answer: 2  
Explanation: In recursion, a complex problem is solved by breaking it into smaller, similar sub‑problems. For the factorial function, each recursive call works on a smaller instance (n‑1) of the original problem, moving toward the base case (usually n = 0 or 1). This decomposition aligns with the BNCC standards that emphasize algorithmic thinking, problem decomposition, and the use of base cases to ensure termination.",NO_VERDICT,,,NO_VERDICT,,,GOOD,"The distractors are plausible and the correct option clearly states the recursive reduction to n-1 toward the base case, matching BNCC expectations for 9th-grade algorithms.",Clear recursion reduction
LLM (GPT-OSS-120B),few-shot,"<|system|>
You are a Computer Science Professor for 9th-grade students following the Brazilian BNCC curriculum.<|end|>
<|user|>
Create a question about Recursive Functions and sub‑problems.<|end|>
<|assistant|>
Question: In a recursive function, which of the following best describes the role of solving sub‑problems?
0) It initializes global variables before recursion starts.  
1) It breaks the original problem into smaller instances that the function calls itself to solve.  
2) It prints intermediate results to the console.  
3) It ensures the function runs only once.  
4) It replaces the need for a return statement.  
Correct Answer: 1  
Explanation: A recursive function follows the “divide‑and‑conquer” principle: the original problem is divided into smaller, similar sub‑problems. Each recursive call solves one of these sub‑problems, and the results are combined (usually via return statements) to produce the final answer. The base case stops further division, preventing infinite recursion. This understanding aligns with the BNCC goal of developing algorithmic thinking and problem‑solving skills in 9th‑grade students.<|end|>",NO_VERDICT,,,NO_VERDICT,,,GOOD,The item directly targets the core BNCC concept of recursion and decomposition; option 1 is the only accurate description.,Accurate recursion concept
LLM (GPT-OSS-120B),few-shot,"<|system|>
You are a Computer Science Professor for 9th-grade students following the Brazilian BNCC curriculum.<|end|>
<|user|>
Create a question about Recursive Functions and sub‑problems.<|end|>
<|assistant|>
Question: In a recursive function that calculates the factorial of a positive integer n, which part of the function is responsible for creating the sub‑problem that leads to the final result?
0) The recursive call that invokes the function with (n - 1)
1) The base case that returns 1 when n = 0
2) The return statement that multiplies n by the result of the recursive call
3) The variable declaration that stores the intermediate product
4) The print statement that displays the result
Correct Answer: 0
Explanation: In recursion, the sub‑problem is generated by the recursive call itself. By invoking the same function with a smaller argument (n - 1), the original problem is broken down into a simpler instance. The base case (option 1) stops the recursion, while the return statement (option 2) combines the results, but only the recursive call creates the new sub‑problem. This aligns with BNCC expectations for understanding algorithmic thinking and decomposition.",NO_VERDICT,,,NO_VERDICT,,,BAD,"The recursive call itself does not “create the sub-problem”; it only triggers the next step. The sub-problem is defined by the algorithm’s logic, not by any single line of code.",Misattributes sub-problem creation
